Var1,Var2,Var3,Var4,Var5,Var6
1,1,1,0,65793,Background+FreeSurfer_Defined_Medial_Wall
120,17,128,0,8393080,7Networks_LH_Vis_1
120,17,129,0,8458616,7Networks_LH_Vis_2
120,17,130,0,8524152,7Networks_LH_Vis_3
120,17,131,0,8589688,7Networks_LH_Vis_4
120,17,132,0,8655224,7Networks_LH_Vis_5
120,17,133,0,8720760,7Networks_LH_Vis_6
120,17,134,0,8786296,7Networks_LH_Vis_7
120,18,127,0,8327800,7Networks_LH_Vis_8
120,18,128,0,8393336,7Networks_LH_Vis_9
120,18,129,0,8458872,7Networks_LH_Vis_10
120,18,130,0,8524408,7Networks_LH_Vis_11
120,18,131,0,8589944,7Networks_LH_Vis_12
120,18,132,0,8655480,7Networks_LH_Vis_13
120,18,133,0,8721016,7Networks_LH_Vis_14
120,18,135,0,8852088,7Networks_LH_Vis_15
120,18,136,0,8917624,7Networks_LH_Vis_16
120,18,137,0,8983160,7Networks_LH_Vis_17
120,18,138,0,9048696,7Networks_LH_Vis_18
120,18,139,0,9114232,7Networks_LH_Vis_19
120,18,140,0,9179768,7Networks_LH_Vis_20
120,18,141,0,9245304,7Networks_LH_Vis_21
120,19,134,0,8786808,7Networks_LH_Vis_22
120,19,135,0,8852344,7Networks_LH_Vis_23
120,19,136,0,8917880,7Networks_LH_Vis_24
120,19,137,0,8983416,7Networks_LH_Vis_25
120,19,138,0,9048952,7Networks_LH_Vis_26
120,19,139,0,9114488,7Networks_LH_Vis_27
120,19,140,0,9180024,7Networks_LH_Vis_28
120,19,141,0,9245560,7Networks_LH_Vis_29
120,20,134,0,8787064,7Networks_LH_Vis_30
120,20,135,0,8852600,7Networks_LH_Vis_31
70,128,179,0,11763782,7Networks_LH_SomMot_1
70,128,180,0,11829318,7Networks_LH_SomMot_2
70,129,173,0,11370822,7Networks_LH_SomMot_3
70,129,174,0,11436358,7Networks_LH_SomMot_4
70,129,175,0,11501894,7Networks_LH_SomMot_5
70,129,176,0,11567430,7Networks_LH_SomMot_6
70,129,177,0,11632966,7Networks_LH_SomMot_7
70,129,178,0,11698502,7Networks_LH_SomMot_8
70,129,179,0,11764038,7Networks_LH_SomMot_9
70,129,180,0,11829574,7Networks_LH_SomMot_10
70,130,173,0,11371078,7Networks_LH_SomMot_11
70,130,174,0,11436614,7Networks_LH_SomMot_12
70,130,175,0,11502150,7Networks_LH_SomMot_13
70,130,176,0,11567686,7Networks_LH_SomMot_14
70,130,177,0,11633222,7Networks_LH_SomMot_15
70,130,178,0,11698758,7Networks_LH_SomMot_16
70,130,179,0,11764294,7Networks_LH_SomMot_17
70,130,181,0,11895366,7Networks_LH_SomMot_18
70,130,182,0,11960902,7Networks_LH_SomMot_19
70,130,183,0,12026438,7Networks_LH_SomMot_20
70,130,184,0,12091974,7Networks_LH_SomMot_21
70,130,185,0,12157510,7Networks_LH_SomMot_22
70,130,186,0,12223046,7Networks_LH_SomMot_23
70,130,187,0,12288582,7Networks_LH_SomMot_24
70,131,180,0,11830086,7Networks_LH_SomMot_25
70,131,181,0,11895622,7Networks_LH_SomMot_26
70,131,182,0,11961158,7Networks_LH_SomMot_27
70,131,183,0,12026694,7Networks_LH_SomMot_28
70,131,184,0,12092230,7Networks_LH_SomMot_29
70,131,185,0,12157766,7Networks_LH_SomMot_30
70,131,186,0,12223302,7Networks_LH_SomMot_31
70,131,187,0,12288838,7Networks_LH_SomMot_32
70,132,180,0,11830342,7Networks_LH_SomMot_33
70,132,181,0,11895878,7Networks_LH_SomMot_34
70,132,182,0,11961414,7Networks_LH_SomMot_35
70,132,183,0,12026950,7Networks_LH_SomMot_36
70,132,184,0,12092486,7Networks_LH_SomMot_37
0,118,7,0,488960,7Networks_LH_DorsAttn_Post_1
0,118,8,0,554496,7Networks_LH_DorsAttn_Post_2
0,118,9,0,620032,7Networks_LH_DorsAttn_Post_3
0,118,10,0,685568,7Networks_LH_DorsAttn_Post_4
0,118,11,0,751104,7Networks_LH_DorsAttn_Post_5
0,118,12,0,816640,7Networks_LH_DorsAttn_Post_6
0,118,13,0,882176,7Networks_LH_DorsAttn_Post_7
0,118,15,0,1013248,7Networks_LH_DorsAttn_Post_8
0,118,16,0,1078784,7Networks_LH_DorsAttn_Post_9
0,118,17,0,1144320,7Networks_LH_DorsAttn_Post_10
0,118,18,0,1209856,7Networks_LH_DorsAttn_Post_11
0,118,19,0,1275392,7Networks_LH_DorsAttn_Post_12
0,118,20,0,1340928,7Networks_LH_DorsAttn_Post_13
0,118,21,0,1406464,7Networks_LH_DorsAttn_Post_14
0,119,14,0,947968,7Networks_LH_DorsAttn_Post_15
0,119,15,0,1013504,7Networks_LH_DorsAttn_Post_16
0,119,16,0,1079040,7Networks_LH_DorsAttn_Post_17
0,118,22,0,1472000,7Networks_LH_DorsAttn_FEF_1
0,119,17,0,1144576,7Networks_LH_DorsAttn_FEF_2
0,119,18,0,1210112,7Networks_LH_DorsAttn_FEF_3
0,119,19,0,1275648,7Networks_LH_DorsAttn_FEF_4
0,119,20,0,1341184,7Networks_LH_DorsAttn_PrCv_1
0,119,21,0,1406720,7Networks_LH_DorsAttn_PrCv_2
196,58,251,0,16464580,7Networks_LH_SalVentAttn_ParOper_1
196,58,252,0,16530116,7Networks_LH_SalVentAttn_ParOper_2
196,58,253,0,16595652,7Networks_LH_SalVentAttn_ParOper_3
196,58,254,0,16661188,7Networks_LH_SalVentAttn_ParOper_4
196,58,255,0,16726724,7Networks_LH_SalVentAttn_TempOcc_1
196,59,247,0,16202692,7Networks_LH_SalVentAttn_FrOperIns_1
196,59,248,0,16268228,7Networks_LH_SalVentAttn_FrOperIns_2
196,59,249,0,16333764,7Networks_LH_SalVentAttn_FrOperIns_3
196,59,251,0,16464836,7Networks_LH_SalVentAttn_FrOperIns_4
196,59,252,0,16530372,7Networks_LH_SalVentAttn_FrOperIns_5
196,59,253,0,16595908,7Networks_LH_SalVentAttn_FrOperIns_6
196,59,254,0,16661444,7Networks_LH_SalVentAttn_FrOperIns_7
196,59,255,0,16726980,7Networks_LH_SalVentAttn_FrOperIns_8
193,52,250,0,16397505,7Networks_LH_SalVentAttn_FrOperIns_9
193,52,249,0,16331969,7Networks_LH_SalVentAttn_PFCl_1
197,58,248,0,16267973,7Networks_LH_SalVentAttn_Med_1
197,58,249,0,16333509,7Networks_LH_SalVentAttn_Med_2
197,58,251,0,16464581,7Networks_LH_SalVentAttn_Med_3
197,58,252,0,16530117,7Networks_LH_SalVentAttn_Med_4
197,58,253,0,16595653,7Networks_LH_SalVentAttn_Med_5
197,58,254,0,16661189,7Networks_LH_SalVentAttn_Med_6
197,58,255,0,16726725,7Networks_LH_SalVentAttn_Med_7
220,248,163,0,10746076,7Networks_LH_Limbic_OFC_1
220,248,165,0,10877148,7Networks_LH_Limbic_OFC_2
220,248,166,0,10942684,7Networks_LH_Limbic_OFC_3
220,248,167,0,11008220,7Networks_LH_Limbic_OFC_4
220,248,168,0,11073756,7Networks_LH_Limbic_OFC_5
220,248,164,0,10811612,7Networks_LH_Limbic_TempPole_1
220,248,169,0,11139292,7Networks_LH_Limbic_TempPole_2
220,248,170,0,11204828,7Networks_LH_Limbic_TempPole_3
220,248,171,0,11270364,7Networks_LH_Limbic_TempPole_4
220,248,172,0,11335900,7Networks_LH_Limbic_TempPole_5
220,249,165,0,10877404,7Networks_LH_Limbic_TempPole_6
220,249,166,0,10942940,7Networks_LH_Limbic_TempPole_7
220,249,167,0,11008476,7Networks_LH_Limbic_TempPole_8
230,148,33,0,2200806,7Networks_LH_Cont_Par_1
230,148,35,0,2331878,7Networks_LH_Cont_Par_2
230,148,36,0,2397414,7Networks_LH_Cont_Par_3
230,148,37,0,2462950,7Networks_LH_Cont_Par_4
230,148,38,0,2528486,7Networks_LH_Cont_Par_5
230,148,39,0,2594022,7Networks_LH_Cont_Par_6
230,148,40,0,2659558,7Networks_LH_Cont_Temp_1
230,149,32,0,2135526,7Networks_LH_Cont_OFC_1
230,149,33,0,2201062,7Networks_LH_Cont_PFCl_1
230,149,34,0,2266598,7Networks_LH_Cont_PFCl_2
230,149,36,0,2397670,7Networks_LH_Cont_PFCl_3
230,149,37,0,2463206,7Networks_LH_Cont_PFCl_4
230,149,38,0,2528742,7Networks_LH_Cont_PFCl_5
230,149,39,0,2594278,7Networks_LH_Cont_PFCl_6
230,149,40,0,2659814,7Networks_LH_Cont_PFCl_7
230,149,41,0,2725350,7Networks_LH_Cont_PFCl_8
231,148,36,0,2397415,7Networks_LH_Cont_PFCv_1
231,149,35,0,2332135,7Networks_LH_Cont_pCun_1
231,149,36,0,2397671,7Networks_LH_Cont_pCun_2
231,149,37,0,2463207,7Networks_LH_Cont_Cing_1
231,149,38,0,2528743,7Networks_LH_Cont_Cing_2
230,148,34,0,2266342,7Networks_LH_Cont_PFCmp_1
205,62,72,0,4734669,7Networks_LH_Default_Temp_1
205,62,73,0,4800205,7Networks_LH_Default_Temp_2
205,62,74,0,4865741,7Networks_LH_Default_Temp_3
205,62,75,0,4931277,7Networks_LH_Default_Temp_4
205,62,76,0,4996813,7Networks_LH_Default_Temp_5
205,62,77,0,5062349,7Networks_LH_Default_Temp_6
205,62,78,0,5127885,7Networks_LH_Default_Temp_7
205,62,80,0,5258957,7Networks_LH_Default_Temp_8
205,62,81,0,5324493,7Networks_LH_Default_Temp_9
205,62,82,0,5390029,7Networks_LH_Default_Temp_10
205,62,83,0,5455565,7Networks_LH_Default_Par_1
205,62,84,0,5521101,7Networks_LH_Default_Par_2
205,62,85,0,5586637,7Networks_LH_Default_Par_3
205,62,86,0,5652173,7Networks_LH_Default_Par_4
205,63,79,0,5193677,7Networks_LH_Default_Par_5
205,63,80,0,5259213,7Networks_LH_Default_Par_6
205,63,81,0,5324749,7Networks_LH_Default_Par_7
205,63,71,0,4669389,7Networks_LH_Default_PFC_1
205,63,72,0,4734925,7Networks_LH_Default_PFC_2
205,63,73,0,4800461,7Networks_LH_Default_PFC_3
205,63,74,0,4865997,7Networks_LH_Default_PFC_4
205,63,75,0,4931533,7Networks_LH_Default_PFC_5
205,63,76,0,4997069,7Networks_LH_Default_PFC_6
205,63,77,0,5062605,7Networks_LH_Default_PFC_7
205,63,82,0,5390285,7Networks_LH_Default_PFC_8
205,63,83,0,5455821,7Networks_LH_Default_PFC_9
205,63,84,0,5521357,7Networks_LH_Default_PFC_10
205,63,85,0,5586893,7Networks_LH_Default_PFC_11
205,64,78,0,5128397,7Networks_LH_Default_PFC_12
205,64,79,0,5193933,7Networks_LH_Default_PFC_13
205,64,80,0,5259469,7Networks_LH_Default_PFC_14
205,64,81,0,5325005,7Networks_LH_Default_PFC_15
205,64,82,0,5390541,7Networks_LH_Default_PFC_16
205,64,83,0,5456077,7Networks_LH_Default_PFC_17
205,64,84,0,5521613,7Networks_LH_Default_PFC_18
205,64,85,0,5587149,7Networks_LH_Default_PFC_19
205,65,78,0,5128653,7Networks_LH_Default_PFC_20
205,65,79,0,5194189,7Networks_LH_Default_PFC_21
205,65,80,0,5259725,7Networks_LH_Default_PFC_22
205,65,81,0,5325261,7Networks_LH_Default_PFC_23
205,65,82,0,5390797,7Networks_LH_Default_PFC_24
205,63,78,0,5128141,7Networks_LH_Default_pCunPCC_1
205,63,86,0,5652429,7Networks_LH_Default_pCunPCC_2
205,64,86,0,5652685,7Networks_LH_Default_pCunPCC_3
205,65,83,0,5456333,7Networks_LH_Default_pCunPCC_4
205,65,84,0,5521869,7Networks_LH_Default_pCunPCC_5
205,65,85,0,5587405,7Networks_LH_Default_pCunPCC_6
205,65,86,0,5652941,7Networks_LH_Default_pCunPCC_7
205,66,79,0,5194445,7Networks_LH_Default_pCunPCC_8
205,66,80,0,5259981,7Networks_LH_Default_pCunPCC_9
205,66,81,0,5325517,7Networks_LH_Default_pCunPCC_10
205,66,82,0,5391053,7Networks_LH_Default_pCunPCC_11
